Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2021-06-08,123.54005432128906,125.21663622404847,123.02343700167279,123.4035896495703,74403800
2021-06-09,123.92019653320312,124.52454534046706,123.32559732645998,123.99817846383709,56877900
2021-06-10,122.92595672607422,124.95344236430199,122.7602506959565,123.81297704481983,71186400
2021-06-11,124.13465881347656,124.22239035571975,122.91621888119515,123.33536251537065,53522400
2021-06-14,127.18560028076172,127.24408300420586,123.8617007821636,124.59276457227712,96906500
2021-06-15,126.36685180664062,127.30262029411195,126.1231638006209,126.65928038857137,62746300
2021-06-16,126.86395263671875,127.58527439037435,125.2166344350542,127.07839924257492,91815000
2021-06-17,128.46258544921875,129.2034066377203,126.37661634337682,126.52283809699388,96721700
2021-06-18,127.16612243652344,128.1895998960208,126.95167585727805,127.40981037898122,108953300
2021-06-21,128.95968627929688,129.06690958900398,125.9477063159808,127.01018237446559,79663300
2021-06-22,130.59727478027344,130.69475593415476,128.2968593599112,128.79399242175575,74783600
2021-06-23,130.32432556152344,130.92868185123652,129.8661909803765,130.39256533356104,60214200
2021-06-24,130.04168701171875,131.24062798342803,129.57379527397197,131.05542269642876,68711000
2021-06-25,129.74923706054688,130.50954241745376,129.4568084909208,130.09040620403312,70783700
2021-06-28,131.37705993652344,131.83519451956099,129.98317185834844,130.04165459260284,62111300
2021-06-29,132.88792419433594,133.0438880631515,130.9579196567259,131.3965550234282,64556100
2021-06-30,133.5020294189453,133.9406648079474,132.43953852296474,132.73196707347742,63261400
2021-07-01,133.80419921875,133.86268195374564,132.3323143115352,133.15111722207564,52485800
2021-07-02,136.42626953125,136.46525305919846,134.27206149217562,134.41826831389758,78852600
2021-07-06,138.43426513671875,139.53572463895688,136.53350195950557,136.53350195950557,108181800
2021-07-07,140.91990661621094,141.2318195282519,139.0581266890823,139.91589835234652,104911600
2021-07-08,139.6234893798828,140.422778328839,137.11836946520646,138.00539740279086,105575500
2021-07-09,141.44627380371094,141.972633378387,139.04837716154248,139.14585831818513,99890800
2021-07-12,140.85165405273438,142.62570970674338,140.364278087154,142.51848639937432,76299700
2021-07-13,141.962890625,143.73694652851253,140.00364432229037,140.39353920017592,100827100
2021-07-14,145.38424682617188,145.79365573228569,143.95136027537654,144.36076918149035,127050800
2021-07-15,144.73114013671875,146.21276700697837,143.37623575739534,145.47196100861444,106820300
2021-07-16,142.69390869140625,145.9788173432772,142.19679065127386,144.7116519617399,93251400
2021-07-19,138.8533935546875,140.43250161447835,138.09308832622733,140.1205738932986,121434600
2021-07-20,142.45999145507812,143.38601770583355,139.35054523026795,139.83792120496685,96350000
2021-07-21,141.72889709472656,142.4404765741107,140.97834896361408,141.8556195804996,74993500
2021-07-22,143.09359741210938,144.4582442706814,142.12858757198936,142.2553100922622,77338200
2021-07-23,144.8091278076172,144.96509166825837,143.210535419876,143.82463382519293,71447400
2021-07-26,145.22830200195312,146.04709009069717,143.97086362595675,144.52647939059113,72434100
2021-07-27,143.0643310546875,145.44272791296905,141.87513262554674,145.35498894389306,104818600
2021-07-28,141.31954956054688,143.2593115153304,138.94115215326465,141.1538434950934,118931200
2021-07-29,141.962890625,142.84991857675627,140.92965581242072,141.03687913486968,56699500
2021-07-30,142.17730712890625,142.63544169374407,140.47149137109437,140.73467853831747,70440600
2021-08-02,141.84588623046875,143.23977416644965,141.5826990796388,142.66467417357075,62880000
2021-08-03,143.63943481445312,144.30225894055675,141.51446802349406,142.12856645538005,64786600
2021-08-04,143.23983764648438,144.05862595245128,142.58675543528182,143.55176550030342,56368300
2021-08-05,143.34701538085938,144.107320690727,142.47948676454712,143.26903344221475,46397700
2021-08-06,142.66366577148438,143.61059289976055,142.16580285802874,142.86867690985883,54126800
2021-08-09,142.6148681640625,143.21035833317768,142.05843483321482,142.72225212556916,48908700
2021-08-10,142.13653564453125,144.196344465899,141.84366893661831,142.9565505100319,69023100
2021-08-11,142.39031982421875,143.22986295766566,142.0681679932176,142.57580253562702,48493500
2021-08-12,145.34825134277344,145.50444888855472,142.37080079552103,142.7124810649403,72282600
2021-08-13,145.55325317382812,145.88516176552068,144.74299521470792,145.42634081402107,59375000
2021-08-16,147.5251922607422,147.59353426907154,142.9858112009547,145.0065628373872,103296000
2021-08-17,146.6173553466797,148.07190241442922,145.54351565601462,146.65639729187643,92229700
2021-08-18,142.87847900390625,147.13476660342323,142.6734678004844,146.23665278463994,86326000
2021-08-19,143.2103271484375,144.4794059910355,141.06266328178802,141.58005455752308,86960300
2021-08-20,144.66490173339844,144.9675251601663,143.28843882859866,143.9327425154178,60549600
2021-08-23,146.14874267578125,146.6173203855108,144.3720292286724,144.78203658666285,60131800
2021-08-24,146.06088256835938,147.27139120779157,145.60206158624175,145.89492826143862,48606400
2021-08-25,144.8308868408203,146.7442698916124,144.28421022511418,146.24639198416384,58991300
2021-08-26,144.03038024902344,145.5727977281921,144.00109506679658,144.82112485660906,48597200
2021-08-27,145.065185546875,145.2116114656549,143.33728522616812,143.97181740197544,55802400
2021-08-30,149.47760009765625,149.8388087234133,145.07488865020937,145.45561079403902,90956700
2021-08-31,148.21835327148438,149.1652806367618,147.6911901527622,149.02861147557854,86453100
2021-09-01,148.8821563720703,151.2934023311897,148.71620204197066,149.1945515081308,80313700
2021-09-02,149.99505615234375,151.03961075732303,148.77479043390352,150.20982411045497,71115500
2021-09-03,150.62957763671875,150.95172951907767,149.44835406806936,150.10241459437898,57808700
2021-09-07,152.9627227783203,153.51915609845358,150.71743128739138,151.28363626481305,82278300
2021-09-08,151.4202880859375,153.30437064554417,150.31716343749,153.24580029178898,74420200
2021-09-09,150.405029296875,152.39649574316758,150.2878736971047,151.7912489116524,57305700
2021-09-10,145.42636108398438,151.7814983871202,145.1627795675759,151.31292061025323,140893200
2021-09-13,145.99253845214844,147.8180505115286,145.21156570783384,147.04684942260073,102404300
2021-09-14,144.5965576171875,147.4763957492906,143.4153491043727,146.7735217186003,109296300
2021-09-15,145.4849090576172,145.88515965134906,142.88818092204215,145.02608811276684,83281300
2021-09-16,145.2506103515625,145.4263362978241,143.71796490468603,144.90894501042473,68034100
2021-09-17,142.5855712890625,145.27992686740734,142.29270460935308,145.27992686740734,129868800
2021-09-20,139.539794921875,141.3945924183066,137.90952209387459,140.37933813407227,123478900
2021-09-21,140.0181427001953,141.16032435989862,139.38361057442205,140.50624891873463,75834000
2021-09-22,142.3805389404297,142.94672884294354,140.2816740145179,141.0138330802469,76404300
2021-09-23,143.3372344970703,143.58128753921014,142.17553963315416,143.16150856090553,64838200
2021-09-24,143.4251251220703,143.96204492535793,142.09747565204063,142.19510285111807,53477900
2021-09-27,141.91200256347656,142.48797924389808,140.39888514559524,142.00962976919416,74150700
2021-09-28,138.5343017578125,141.30674132874793,138.31953384357482,139.8424227657557,108972300
2021-09-29,139.43240356445312,141.0138627120859,138.6514307510702,139.08096654322168,74602000
2021-09-30,138.13404846191406,140.9455448156453,137.9192805517919,140.2426707272125,89056700
2021-10-01,139.25668334960938,139.5202648503588,135.80089824481317,138.52452409983053,94639600
2021-10-04,135.83021545410156,138.82719517325862,134.98091529074117,138.38788760314102,98322000
2021-10-05,137.7533416748047,138.85646652806082,136.04496985928344,136.17188224652747,80861100
2021-10-06,138.62217712402344,138.7686030429388,135.07852092806354,136.15236065284557,83221100
2021-10-07,139.88145446777344,140.7893396562003,139.32502120039112,139.65692980871162,61732700
2021-10-08,139.50074768066406,140.75029837603776,139.16883903566588,140.60387247260306,58773200
2021-10-11,139.41285705566406,141.36528138783962,138.43664488957629,138.8857090401355,64452200
2021-10-12,138.14378356933594,139.84239816609858,137.68496264197734,139.82286975119803,73035900
2021-10-13,137.55810546875,138.03644005527403,135.88877555756454,137.8802573777795,78762700
2021-10-14,140.34027099609375,140.45742659800283,138.14379338196727,138.7295267040612,69907100
2021-10-15,141.39456176757812,141.45313211222725,140.09619784320086,140.3500225311004,67940300
2021-10-18,143.06390380859375,143.34699879821167,139.75454497889402,140.03763996851194,85589200
2021-10-19,145.22134399414062,145.62159463310732,143.06392303976392,143.51297237963328,76378900
2021-10-20,145.70945739746094,146.18780683574556,144.59657585778285,145.16278083703227,58418800
2021-10-21,145.92416381835938,146.08036131145903,144.3524619215997,145.27010357379407,61421000
2021-10-22,145.15298461914062,146.60753116579318,145.10417103326708,146.12919675335147,58883400
2021-10-25,145.1042022705078,145.8168331110648,144.10846150842693,145.14324421012236,50720600
2021-10-26,145.7680206298828,147.25185252804923,145.4653823192533,145.77777738990952,60893400
2021-10-27,145.30921936035156,146.16827612937263,144.9577823061733,145.80708231384622,56094900
2021-10-28,148.9407501220703,149.5264686918417,146.1585385042387,146.25616571377768,100077900
2021-10-29,146.2366485595703,146.3733177259621,142.92728848439134,143.7180182967883,124953200
2021-11-01,145.41659545898438,146.1389830509936,144.28418557941234,145.44588063726485,74588300
2021-11-02,146.45138549804688,147.96451766703325,145.11396440756303,145.12373606469237,69122000
2021-11-03,147.88644409179688,148.35502194347706,146.25617092597884,146.81260433188254,54511500
2021-11-04,147.36900329589844,148.80402155525002,147.05660823548425,147.97425010568048,60394600
2021-11-05,147.89691162109375,148.7963357946924,146.7041933888627,148.49327073720926,65463900
2021-11-08,147.0757598876953,148.18049482600526,146.8020226332124,148.02406927556885,55020900
2021-11-09,147.4374237060547,148.04355383183062,146.7041960051751,146.84106457930375,56787900
2021-11-10,144.6121063232422,146.77269130050686,144.54367946999045,146.66515060177312,65187100
2021-11-11,144.56321716308594,146.0883289050465,144.37746369649008,145.62885311604722,41000000
